,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
0,Nander De Sedas, Infielder, Fr., 6' 2'' ,192 lbs ," Panama City, Panama", Montverde Academy (Fla.),2018,baseball,
1,Dakota Gaillard, Infielder, Fr., 6' 0'' ,165 lbs ," Jupiter, Fla.", Jupiter,2018,baseball,
2,Shane Drohan, Left Handed Pitcher, So., 6' 3'' ,200 lbs ," West Palm Beach, Fla.", Cardinal Newman,2018,baseball,
3,Cade Hungate, Infielder/Right Handed Pitcher, Fr., 6' 2'' ,185 lbs ," Abingdon, Va.", Abingdon,2018,baseball,
4,J.C. Flowers, Outfielder/Pitcher, Jr., 6' 3'' ,190 lbs ," Orange Park, Fla.", Trinity Christian Academy,2018,baseball,
5,Cooper Swanson, Infielder, So., 6' 1'' ,205 lbs ," Fort Myers, Fla.", Canterbury School,2018,baseball,
6,Tyler Ahearn, Right Handed Pitcher, So., 6' 2'' ,195 lbs ," Jupiter, Fla.", IMG Academy,2018,baseball,
7,Jonah Scolaro, Left Handed Pitcher, So., 5' 10'' ,180 lbs ," Valrico, Fla.", Durant,2018,baseball,
8,Troy Hamilton, Infielder, Fr., 5' 11'' ,155 lbs ," Royal Palm Beach, Fla.", American Heritage,2018,baseball,
9,Cj  Van Eyk, Right Handed Pitcher, So., 6' 1'' ,205 lbs ," Lutz, Fla.", Steinbrenner,2018,baseball,
10,Mike Salvatore, Infielder, Sr., 6' 0'' ,186 lbs ," Ewing, N.J.", Ewing,2018,baseball,
11,Clayton Kwiatkowski, Left Handed Pitcher, Jr., 6' 2'' ,210 lbs ," Tampa, Fla.", Jesuit,2018,baseball,
12,Cole Beverlin, Right Handed Pitcher, Fr., 6' 4'' ,180 lbs ," Port Orange, Fla.", Spruce Creek,2018,baseball,
13,Elijah Cabell, Outfielder, Fr., 6' 2'' ,195 lbs ," Winter Park, Fla.", TNXL Academy,2018,baseball,
14,Kyle Mcmullen, Right Handed Pitcher, Jr., 6' 2'' ,210 lbs ," Jupiter, Fla.", Jupiter,2018,baseball,
15,Chris Ruckdeschel, Right Handed Pitcher, Fr., 6' 1'' ,190 lbs ," Davie, Fla.", St. Thomas Aquinas,2018,baseball,
16,Drew Mendoza, Infielder, Jr., 6' 5'' ,230 lbs ," Minneola, Fla.", Lake Minneola,2018,baseball,
17,Reese Albert, Outfielder, So., 6' 2'' ,197 lbs ," Jupiter, Fla.", Jupiter,2018,baseball,
18,Alec Sanchez, Infielder, Fr., 5' 11'' ,195 lbs ," Jacksonville, Fla.", Providence,2018,baseball,
19,Chase Sanguinetti, Outfielder, Fr., 6' 0'' ,190 lbs ," Tampa, Fla.", Plant,2018,baseball,
20,Robby Martin, Outfielder, Fr., 6' 3'' ,200 lbs ," Tampa, Fla.", Jefferson,2018,baseball,
21,Mcguire Weaver, Infielder, Fr., 5' 11'' ,155 lbs ," Tampa, Fla.", Jesuit,2018,baseball,
22,Austin Pollock, Left Handed Pitcher, So., 6' 3'' ,180 lbs ," Tallahassee, Fla.", Lincoln,2018,baseball,
23,Antonio Velez, Left Handed Pitcher, Jr., 6' 1'' ,185 lbs ," Brandon, Fla.", Brandon,2018,baseball,
24,Conor Grady, Right Handed Pitcher, So., 6' 2'' ,187 lbs ," Tampa, Fla.", Tampa Catholic,2018,baseball,
25,Chase Haney, Right Handed Pitcher, R-Jr., 6' 6'' ,225 lbs ," Winter Garden, Fla.", Windermere Prep,2018,baseball,
26,Carter Smith, Catcher/Infielder, Jr., 6' 1'' ,180 lbs ," Fort Myers, Fla.", Canterbury School,2018,baseball,
27,Jonathan Foster, Catcher, Sr., 6' 0'' ,205 lbs ," LaGrange, Ga.", Troup County,2018,baseball,
28,Tim Becker, Outfielder, Sr., 6' 0'' ,185 lbs ," Wellington, Fla.", Palm Beach Central,2018,baseball,
29,Corey Yawn, Right Handed Pitcher, Fr., 6' 1'' ,185 lbs ," Seminole, Fla.", Northside Christian,2018,baseball,
30,Jack Anderson, Right Handed Pitcher, Fr., 6' 3'' ,185 lbs ," Tampa, Fla.", Jesuit,2018,baseball,
31,Drew Parrish, Left Handed Pitcher, Jr., 5' 11'' ,200 lbs ," Rockledge, Fla.", Rockledge,2018,baseball,
32,Gage Hutchinson, Right Handed Pitcher, R-Sr., 6' 1'' ,185 lbs ," Port Orange, Fla.", Spruce Creek,2018,baseball,
33,Nico Baldor, Infielder, Jr., 6' 2'' ,195 lbs ," Tampa, Fla.", Jesuit,2018,baseball,
34,Matheu Nelson, Catcher, Fr., 5' 11'' ,195 lbs ," Largo, Fla.", Calvary Christian,2018,baseball,
0,Nander De Sedas, Infielder, So., 6' 2'' ,198 lbs ," Panama City, Panama", Montverde Academy (Fla.),2019,baseball,
1,Danny Andzel, Infielder, Fr., 5' 11'' ,184 lbs ," Tallahassee, Fla.", TNXL Academy,2019,baseball,
2,Shane Drohan, Left Handed Pitcher, Jr., 6' 3'' ,195 lbs ," West Palm Beach, Fla.", Cardinal Newman,2019,baseball,
3,Brandon Walker, Right Handed Pitcher, Fr., 6' 1'' ,195 lbs ," Tallahassee, Fla.", North Florida Christian,2019,baseball,
4,Cade Hungate, Right Handed Pitcher, So., 6' 2'' ,206 lbs ," Abingdon, Va.", Abingdon,2019,baseball,
5,Caleb Cali, Infielder, Fr., 6' 2'' ,211 lbs ," Minneola, Fla.", Montverde Academy,2019,baseball,
6,Cooper Swanson, Infielder, Jr., 6' 1'' ,211 lbs ," Fort Myers, Fla.", Canterbury School,2019,baseball,
7,Tyrell Brewer, Utility, Fr., 5' 10'' ,150 lbs ," Orlando, Fla.", TNXL Academy,2019,baseball,
8,Tyler Ahearn, Right Handed Pitcher, Jr., 6' 2'' ,206 lbs ," Jupiter, Fla.", IMG Academy,2019,baseball,
9,Jonah Scolaro, Left Handed Pitcher, Jr., 5' 10'' ,191 lbs ," Valrico, Fla.", Durant,2019,baseball,
10,Cj  Van Eyk, Right Handed Pitcher, Jr., 6' 1'' ,198 lbs ," Lutz, Fla.", Steinbrenner,2019,baseball,
11,Tyler Martin, Infielder, Fr., 6' 1'' ,160 lbs ," Tallahassee, Fla.", Chiles,2019,baseball,
12,Clayton Kwiatkowski, Left Handed Pitcher, Sr., 6' 2'' ,215 lbs ," Tampa, Fla.", Jesuit,2019,baseball,
13,Hunter Perdue, Right Handed Pitcher, Jr., 6' 3'' ,208 lbs ," Chesapeake, Va.", Grassfield,2019,baseball,
14,Elijah Cabell, Outfielder, So., 6' 3'' ,200 lbs ," Winter Park, Fla.", TNXL Academy,2019,baseball,
15,Kyle Mcmullen, Right Handed Pitcher, R-Jr., 6' 2'' ,205 lbs ," Jupiter, Fla.", Jupiter,2019,baseball,
16,Chris Ruckdeschel, Right Handed Pitcher, R-Fr., 6' 1'' ,197 lbs ," Davie, Fla.", St. Thomas Aquinas,2019,baseball,
17,Ryan Pettys, Left Handed Pitcher, Fr., 6' 2'' ,166 lbs ," Panama City Beach, Fla.", Mosley,2019,baseball,
18,Reese Albert, Outfielder, Jr., 6' 2'' ,203 lbs ," Jupiter, Fla.", Jupiter,2019,baseball,
19,Doug Kirkland, Catcher/Right Handed Pitcher, Fr., 5' 11'' ,192 lbs ," Orlando, Fla.", TNXL Academy,2019,baseball,
20,Robby Martin, Outfielder, So., 6' 3'' ,210 lbs ," Tampa, Fla.", Jefferson,2019,baseball,
21,Jackson Greene, Infielder, Jr., 5' 11'' ,199 lbs ," Like Oak, Fla.", Suwannee,2019,baseball,
22,Parker Messick, Left Handed Pitcher, Fr., 6' 0'' ,235 lbs ," Plant City, Fla.", Plant City,2019,baseball,
23,Antonio Velez, Left Handed Pitcher, Sr., 6' 1'' ,212 lbs ," Brandon, Fla.", Brandon,2019,baseball,
24,Conor Grady, Right Handed Pitcher, Jr., 6' 2'' ,202 lbs ," Tampa, Fla.", Tampa Catholic,2019,baseball,
25,Logan Lacey, Utility, Jr., 5' 10'' ,190 lbs ," Tallahassee, Fla.", Godby,2019,baseball,
26,Chase Haney, Right Handed Pitcher, R-Sr., 6' 6'' ,227 lbs ," Winter Garden, Fla.", Windermere Prep,2019,baseball,
27,Carter Smith, Utility, Sr., 6' 1'' ,170 lbs ," Fort Myers, Fla.", Canterbury School,2019,baseball,
28,Davis Hare, Right Handed Pitcher, Jr., 6' 3'' ,218 lbs ," Guyton, Ga.", South Effingham,2019,baseball,
29,Jd Tease, Infielder, Fr., 5' 10'' ,186 lbs ," Tallahassee, Fla.", North Florida Christian,2019,baseball,
30,Isaiah Perry, Outfielder, Jr., 6' 1'' ,172 lbs ," Pembroke Pines, Fla.", St. Thomas Aquinas,2019,baseball,
31,Jack Anderson, Right Handed Pitcher, So., 6' 3'' ,197 lbs ," Tampa, Fla.", Jesuit,2019,baseball,
32,Bryce Hubbart, Left Handed Pitcher, Fr., 5' 11'' ,190 lbs ," Windermere, Fla.", Windermere,2019,baseball,
33,Dylan Simmons, First Baseman/Right Handed Pitcher, Fr., 6' 3'' ,228 lbs ," Jacksonville, Fla.", Trinity Christian,2019,baseball,
34,Jake Suddreth, Right Handed Pitcher, Sr., 6' 3'' ,200 lbs ," Queen Creek, Ariz.", Mesquite,2019,baseball,
35,Aaron Jensen, Right Handed Pitcher, R-Fr., 6' 2'' ,187 lbs ," Lutz, Fla.", Hillsborough,2019,baseball,
36,Nico Baldor, Utility, Sr., 6' 2'' ,195 lbs ," Tampa, Fla.", Jesuit,2019,baseball,
37,Matheu Nelson, Catcher, So., 5' 11'' ,209 lbs ," Largo, Fla.", Calvary Christian,2019,baseball,
0,Nander De Sedas, Infielder, R-So., 6' 2'' ,195 lbs ," Panama City, Panama", Montverde Academy (Fla.),2020,baseball,
1,Danny Andzel, Infielder, R-Fr., 5' 11'' ,180 lbs ," Tallahassee, Fla.", TNXL Academy,2020,baseball,
2,Wyatt Crowell, Left Handed Pitcher/Outfielder, Fr., 5' 11'' ,168 lbs ," Cumming, Ga.", West Forsyth,2020,baseball,
3,Brandon Walker, Right Handed Pitcher, R-Fr., 6' 1'' ,190 lbs ," Tallahassee, Fla.", North Florida Christian,2020,baseball,
4,Richie Morales, Infielder, Fr., 5' 10'' ,175 lbs ," Bradenton, Fla.", Lakewood Ranch,2020,baseball,
5,Vince Smith, Infielder, Fr., 5' 11'' ,160 lbs ," Clearwater, Fla.", Calvary Christian,2020,baseball,
6,Casey Asman, Outfielder, R-So., 6' 3'' ,205 lbs ," Palm City, Fla.", Martin County,2020,baseball,
7,Chase Haney, Right Handed Pitcher, R-Sr., 6' 6'' ,225 lbs ," Winter Garden, Fla.", Windermere Prep,2020,baseball,
8,Tyler Ahearn, Right Handed Pitcher, R-Jr., 6' 2'' ,202 lbs ," Jupiter, Fla.", IMG Academy,2020,baseball,
9,Jonah Scolaro, Left Handed Pitcher, R-Jr., 5' 10'' ,188 lbs ," Valrico, Fla.", Durant,2020,baseball,
10,Jackson Nezuh, Right Handed Pitcher, Fr., 6' 1'' ,175 lbs ," St. Cloud, Fla.", TNXL Academy,2020,baseball,
11,Parker Messick, Left Handed Pitcher, R-Fr., 6' 0'' ,225 lbs ," Plant City, Fla.", Plant City,2020,baseball,
12,Tyler Martin, Infielder, R-Fr., 6' 1'' ,155 lbs ," Tallahassee, Fla.", Chiles,2020,baseball,
13,Clayton Kwiatkowski, Left Handed Pitcher, R-Sr., 6' 2'' ,215 lbs ," Tampa, Fla.", Jesuit,2020,baseball,
14,Hunter Perdue, Right Handed Pitcher, R-Jr., 6' 3'' ,210 lbs ," Chesapeake, Va.", Grassfield,2020,baseball,
15,Elijah Cabell, Outfielder, R-So., 6' 2'' ,225 lbs ," Winter Park, Fla.", TNXL Academy,2020,baseball,
16,Kyle Mcmullen, Right Handed Pitcher, R-Jr., 6' 2'' ,205 lbs ," Jupiter, Fla.", Jupiter,2020,baseball,
17,Chris Ruckdeschel, Right Handed Pitcher, R-Fr., 6' 1'' ,195 lbs ," Davie, Fla.", St. Thomas Aquinas,2020,baseball,
18,Carson Montgomery, Right Handed Pitcher, Fr., 6' 3'' ,205 lbs ," Windermere, Fla.", Windermere,2020,baseball,
19,Reese Albert, Outfielder, R-Jr., 6' 2'' ,190 lbs ," Jupiter, Fla.", Jupiter,2020,baseball,
20,Aj Shaver, Outfielder, Fr., 6' 2'' ,204 lbs ," Clermont, Fla.", South Lake,2020,baseball,
21,Doug Kirkland, Right Handed Pitcher, R-Fr., 5' 11'' ,200 lbs ," Orlando, Fla.", TNXL Academy,2020,baseball,
22,Robby Martin, Outfielder, R-So., 6' 3'' ,190 lbs ," Tampa, Fla.", Jefferson,2020,baseball,
23,Jackson Greene, Infielder, R-Jr., 5' 11'' ,210 lbs ," Like Oak, Fla.", Suwannee,2020,baseball,
24,Colton Vincent, Catcher, R-So., 6' 1'' ,185 lbs ," Palmetto, Fla.", Palmetto,2020,baseball,
25,Sebastian Jimenez, Catcher, Fr., 6' 4'' ,210 lbs ," Miami, Fla.", Coral Reef Senior,2020,baseball,
26,Ross Dunn, Left Handed Pitcher, Fr., 6' 3'' ,225 lbs ," Salt Lake City, Utah", Cottonwood,2020,baseball,
27,Conor Grady, Right Handed Pitcher, R-Jr., 6' 2'' ,205 lbs ," Tampa, Fla.", Tampa Catholic,2020,baseball,
28,Logan Lacey, Infielder/Outfielder, R-Jr., 5' 10'' ,185 lbs ," Tallahassee, Fla.", Godby,2020,baseball,
29,Cooper Nelson, Right Handed Pitcher, Fr., 6' 1'' ,195 lbs ," East Lake, Fla.", East Lake,2020,baseball,
30,Davis Hare, Right Handed Pitcher, R-Jr., 6' 3'' ,217 lbs ," Guyton, Ga.", South Effingham,2020,baseball,
31,Andrew Armstrong, Left Handed Pitcher, Fr., 6' 2'' ,150 lbs ," Flowery Branch, Ga.", Flowery Branch,2020,baseball,
32,Isaiah Perry, Outfielder, R-Jr., 6' 1'' ,165 lbs ," Pembroke Pines, Fla.", St. Thomas Aquinas,2020,baseball,
33,Jack Anderson, Right Handed Pitcher, R-So., 6' 3'' ,197 lbs ," Tampa, Fla.", Jesuit,2020,baseball,
34,Ryan Romano, Infielder, R-So., 6' 0'' ,170 lbs ," Tampa, Fla.", Hillsborough,2020,baseball,
35,Bryce Hubbart, Left Handed Pitcher, R-Fr., 6' 1'' ,185 lbs ," Windermere, Fla.", Windermere,2020,baseball,
36,Dylan Simmons, First Baseman/Right Handed Pitcher, R-Fr., 6' 3'' ,220 lbs ," Jacksonville, Fla.", Trinity Christian,2020,baseball,
37,Garrett Mathes, First Baseman/Right Handed Pitcher, R-Jr., 6' 2'' ,197 lbs ," Tallahassee, Fla.", Chiles,2020,baseball,
38,Nico Baldor, Outfielder, R-Sr., 6' 2'' ,190 lbs ," Tampa, Fla.", Jesuit,2020,baseball,
39,Matheu Nelson, Catcher, R-So., 5' 11'' ,190 lbs ," Largo, Fla.", Calvary Christian,2020,baseball,
0,Connor Moore, INF, So., 6' 1'' ,188 lbs ," Macclenny, Fla.", St. Johns Country Day School,2022,baseball,
1,Titan Kamaka, INF, Fr., 6' 0'' ,177 lbs ," Orlando, Fla.", West Orange,2022,baseball,
2,Jordan Carrion, INF, Jr., 6' 1'' ,162 lbs ," Miami, Fla.", American Heritage School,2022,baseball,
3,Gunnett Carlson, 1B/C, Fr., 5' 10'' ,196 lbs ," Tampa, Fla.", Berkeley Prep,2022,baseball,
4,Wyatt Crowell, LHP, Jr., 6' 0'' ,169 lbs ," Cumming, Ga.", West Forsyth,2022,baseball,
5,Brandon Walker, RHP, R-Jr., 6' 1'' ,222 lbs ," Tallahassee, Fla.", North Florida Christian,2022,baseball,
6,Jaime Ferrer, OF, So., 6' 1'' ,218 lbs ," Bayamón, Puerto Rico", Florida Virtual School,2022,baseball,
7,Brennen Oxford, LHP, R-Jr., 6' 2'' ,208 lbs ," Durham, N.H.", Oyster River,2022,baseball,
8,Treyton Rank, INF, So., 6' 1'' ,218 lbs ," Buford, Ga.", Buford,2022,baseball,
9,Jordan Williams, OF, R-So., 5' 11'' ,173 lbs ," Odessa, Fla.", Gaither,2022,baseball,
10,Conner Whittaker, RHP, So., 6' 0'' ,184 lbs ," Sarasota, Fla.", Sarasota,2022,baseball,
11,Jordan Taylor, OF, Fr., 6' 1'' ,183 lbs ," Jacksonville, Fla.", St. Johns Country Day School,2022,baseball,
12,Brett Barfield, LHP, Fr., 6' 2'' ,210 lbs ," Cumming, Ga.", North Forsyth,2022,baseball,
13,Jamie Arnold, LHP, Fr., 6' 1'' ,188 lbs ," Tampa, Fla.", Jesuit,2022,baseball,
14,Jackson Baumeister, RHP, So., 6' 4'' ,224 lbs ," Jacksonville, Fla.", The Bolles School,2022,baseball,
15,Sebastian Jimenez, C/1B, R-So., 6' 4'' ,231 lbs ," Miami, Fla.", Coral Reef Senior,2022,baseball,
16,Drake Flowers, RHP, Fr., 6' 4'' ,230 lbs ," Jupiter, Fla.", Cardinal Newman,2022,baseball,
17,Doug Kirkland, RHP, R-Jr., 5' 11'' ,193 lbs ," Orlando, Fla.", TNXL Academy,2022,baseball,
18,Carson Montgomery, RHP, Jr., 6' 3'' ,215 lbs ," Windermere, Fla.", Windermere,2022,baseball,
19,James Tibbs III, OF/1B, So., 6' 0'' ,201 lbs ," Marietta, Ga.", Pope,2022,baseball,
20,Nander De Sedas, INF, R-Sr., 6' 2'' ,207 lbs ," Panama City, Panama", Montverde Academy (Fla.),2022,baseball,
21,Cam Smith, INF, Fr., 6' 3'' ,224 lbs ," Lake Worth, Fla.", Palm Beach Central,2022,baseball,
22,McGwire Holbrook, C, Jr., 6' 1'' ,230 lbs ," Orlando, Fla.", Bishop Moore,2022,baseball,
23,Cade Bush, 1B, Fr.,NA,NA," Palm Beach Gardens, Fla.", Palm Beach Gardens,2022,baseball,
24,DeAmez Ross, OF, Fr., 5' 11'' ,187 lbs ," Melbourne, Fla.", Eau Gallie,2022,baseball,
25,Colton Vincent, C, R-Sr., 6' 1'' ,187 lbs ," Palmetto, Fla.", Palmetto,2022,baseball,
26,Davion Hickson, RHP, Fr., 6' 3'' ,201 lbs ," Jacksonville, Fla.", IMG Academy,2022,baseball,
27,Ryan Denison, RHP, Fr., 6' 4'' ,220 lbs ," Tampa, Fla.", Jesuit,2022,baseball,
28,Santiago Ordonez, C, Fr., 5' 8'' ,193 lbs ," Parkland, Fla.", Stoneman Douglas,2022,baseball,
29,Ben Barrett, RHP/OF, Fr., 6' 4'' ,223 lbs ," Orlando, Fla.", The First Academy,2022,baseball,
30,Jason Avila, OF, Fr., 5' 8'' ,185 lbs ," Riverdale, Ga.", Redan,2022,baseball,
31,Andrew Armstrong, LHP, Jr., 6' 2'' ,154 lbs ," Flowery Branch, Ga.", Flowery Branch,2022,baseball,
32,Jude Putz, INF, R-Fr., 6' 0'' ,158 lbs ," Kansas City, Mo.", Bishop Miege (Kan.),2022,baseball,
33,Joe Charles, RHP, R-So., 6' 3'' ,215 lbs ," Celebration, Fla.", TNXL Academy,2022,baseball,
34,David Barrett, RHP, R-Jr., 6' 0'' ,198 lbs ," Sarasota, Fla.", Sarasota,2022,baseball,
35,Nick Biasi, LHP, Fr., 5' 9'' ,197 lbs ," Hazle Township, Pa.", Hazleton Area,2022,baseball,
36,Jaden Stockton, RHP, Fr., 6' 5'' ,208 lbs ," Sarasota, Fla.", IMG Academy,2022,baseball,
37,Lance Trippel, C/OF, Fr., 6' 2'' ,191 lbs ," Sarasota, Fla.", Sarasota,2022,baseball,
0,Alex Lodise, INF, So., 6' 1'' ,189 lbs ," St. Augustine, Fla.", Bartram Trail,2023,baseball,
1,Titan Kamaka, INF, So., 6' 0'' ,177 lbs ," Orlando, Fla.", West Orange,2023,baseball,
2,Drew Faurot, INF, So., 6' 3'' ,200 lbs ," Tallahassee, Fla.", Florida High,2023,baseball,
3,Cal Fisher, INF, Fr., 6' 0'' ,205 lbs ," Deerfield, Wisc.", Deerfield,2023,baseball,
4,Spencer Butt, INF, Fr., 5' 10'' ,170 lbs ," Davie, Fla.", American Heritage,2023,baseball,
5,Jaime Ferrer, OF, Jr., 6' 1'' ,218 lbs ," Bayamón, Puerto Rico", Florida Virtual School,2023,baseball,
6,Brennen Oxford, LHP, R-Sr., 6' 2'' ,208 lbs ," Durham, N.H.", Oyster River,2023,baseball,
7,Carson Dorsey, LHP, Jr., 6' 2'' ,180 lbs ," Panama City Beach, Fla.", Arnold,2023,baseball,
8,Jordan Williams, OF, R-Jr., 5' 11'' ,173 lbs ," Odessa, Fla.", Gaither,2023,baseball,
9,Conner Whittaker, RHP, Jr., 6' 0'' ,184 lbs ," Sarasota, Fla.", Sarasota,2023,baseball,
10,Andrew Duncan, OF, Fr., 6' 1'' ,193 lbs ," Dunedin, Fla.", A3 Academy,2023,baseball,
11,Connor Hults, LHP, R-Jr., 5' 11'' ,175 lbs ," St. Johns, Fla.", Creekside,2023,baseball,
12,Jamie Arnold, LHP, So., 6' 1'' ,188 lbs ," Tampa, Fla.", Jesuit,2023,baseball,
13,Yoel Tejeda Jr., RHP, So., 6' 8'' ,215 lbs ," Davie, Fla.", North Broward Prep,2023,baseball,
14,Max Williams, OF, So., 6' 2'' ,200 lbs ," Ormond Beach, Fla.", Clay,2023,baseball,
15,Riley Jackson, C, Fr., 6' 1'' ,205 lbs ," Melbourne, Fla.", Eau gallie,2023,baseball,
16,Jaxson West, C, So., 6' 0'' ,205 lbs ," Tallahassee, Fla.", Chiles,2023,baseball,
17,Gavin Adams, RHP, Jr., 6' 4'' ,195 lbs ," Boynton Beach, Fla.", St. John Paul II,2023,baseball,
18,James Tibbs III, OF/1B, Jr., 6' 0'' ,201 lbs ," Marietta, Ga.", Pope,2023,baseball,
19,Brody DeLamielleure, OF, Fr., 6' 1'' ,200 lbs ," St. Augustine, Fla.", Bartram Trail,2023,baseball,
20,Cam Smith, INF, So., 6' 3'' ,224 lbs ," Lake Worth, Fla.", Palm Beach Central,2023,baseball,
21,McGwire Holbrook, C, Sr., 6' 1'' ,220 lbs ," Orlando, Fla.", Bishop Moore,2023,baseball,
22,Justin Best, OF, Fr., 6' 4'' ,201 lbs ," Cornelius, N.C.", Combine Academy,2023,baseball,
23,DeAmez Ross, OF, So., 5' 11'' ,187 lbs ," Melbourne, Fla.", Eau Gallie,2023,baseball,
24,Jacob Marlowe, LHP, Jr., 6' 0'' ,175 lbs ," Naples, Fla.", Barron Collier,2023,baseball,
25,Cam Leiter, RHP, So., 6' 5'' ,215 lbs ," Bayville, N.J.", Central Regional,2023,baseball,
26,Ryan Denison, RHP, So., 6' 4'' ,220 lbs ," Tampa, Fla.", Jesuit,2023,baseball,
27,Daniel Cantu, 1B, R-Sr., 6' 3'' ,220 lbs ," Jacksonville, Fla.", Creekside,2023,baseball,
28,Ben Barrett, RHP/INF, So., 6' 4'' ,223 lbs ," Orlando, Fla.", The First Academy,2023,baseball,
29,Brady Louck, LHP, Fr., 5' 10'' ,175 lbs ," Plainfield, Ill.", Plainfield East,2023,baseball,
30,Noah Short, RHP, R-Sr., 6' 1'' ,195 lbs ," Teays Valley, W.Va.", Hurricane,2023,baseball,
31,Andrew Armstrong, LHP, Sr., 6' 2'' ,155 lbs ," Flowery Branch, Ga.", Flowery Branch,2023,baseball,
32,Jude Putz, INF, R-So., 6' 0'' ,158 lbs ," Kansas City, Mo.", Bishop Miege (Kan.),2023,baseball,
33,Joe Charles, RHP, R-Jr., 6' 4'' ,215 lbs ," Celebration, Fla.", TNXL Academy,2023,baseball,
34,Matt Sauser, RHP, Fr., 6' 3'' ,195 lbs ," Bloomington, Ill.", University,2023,baseball,
35,David Barrett, RHP, R-Sr., 6' 0'' ,198 lbs ," Sarasota, Fla.", Sarasota,2023,baseball,
36,Marco Dinges, C, So., 6' 0'' ,190 lbs ," Beekman, N.Y.", East Lake (Fla.),2023,baseball,
37,Hudson Rowan, LHP, Fr., 6' 1'' ,205 lbs ," Panama City, Fla.", Mosley,2023,baseball,
38,Matty Davis, OF, Fr., 6' 3'' ,200 lbs ," Palm Beach Gardens, Fla.", Dwyer,2023,baseball,
39,Lance Trippel, C, So., 6' 2'' ,191 lbs ," Sarasota, Fla.", Sarasota,2023,baseball,
40,James Hankerson Jr., 1B/OF, Fr., 6' 3'' ,230 lbs ," Tampa, Fla.", Berkeley Prep,2023,baseball,
41,David Davila, LHP, Fr., 5' 9'' ,180 lbs ," Miami, Fla.", Miami Springs Senior,2023,baseball,
42,John Abraham, RHP, Fr., 6' 3'' ,203 lbs ," Tampa, Fla.", Jesuit,2023,baseball,
43,Mason McDougall, LHP, Fr., 6' 1'' ,179 lbs ," Tampa, Fla.", Wiregrass Ranch,2023,baseball,
44,Payton Manca, LHP, Fr., 6' 6'' ,255 lbs ," Winchendon, Mass.", P27 Academy (S.C.),2023,baseball,
0,Devon Bookert, Guard, Fr., 6' 3'' ,198 lbs ," Anchorage, Ak.", West Anchorage,2012,mens-basketball,
1,Okaro White, Forward, Jr., 6' 9'' ,204 lbs ," Clearwater, Fla.", Clearwater,2012,mens-basketball,
2,Kiel Turpin, Center, R-Jr., 7' 0'' ,240 lbs ," Normal, Ill.", Normal Community West,2012,mens-basketball,
3,Robert Gilchrist, Forward, Jr., 6' 9'' ,220 lbs ," London, England", Worcester Academy,2012,mens-basketball,
4,Boris Bojanovsky, Center, Fr., 7' 3'' ,248 lbs ," Bratislava, Slovak Republic", Oakley College,2012,mens-basketball,
5,Terrance Shannon, Forward, R-Jr., 6' 8'' ,240 lbs ," Forsyth, Ga.", Mary Persons,2012,mens-basketball,
6,Rafael Portuondo, Guard, Sr., 5' 11'' ,165 lbs ," Miami, Fla.", Christopher Columbus ,2012,mens-basketball,
7,Michael Snaer, Guard, Sr., 6' 5'' ,202 lbs ," Moreno Valley, Calif.", Rancho Verde,2012,mens-basketball,
8,Ian Miller, Guard, Jr., 6' 3'' ,198 lbs ," Charlotte, N.C.", United Faith Christian Academy,2012,mens-basketball,
9,Terry Whisnant II, Guard, So., 6' 3'' ,185 lbs ," Cherryville, N.C.", Cherryville,2012,mens-basketball,
10,Montay Brandon, Guard, Fr., 6' 8'' ,229 lbs ," Greensboro, N.C.", Wesleyan Christian,2012,mens-basketball,
11,Joey Moreau, Guard, Sr., 6' 2'' ,179 lbs , Braden River,NA,2012,mens-basketball,
12,Joell Hopkins, Forward, So., 6' 6'' ,205 lbs ," Durham, N.C.", The Ravenscroft School,2012,mens-basketball,
13,Michael Ojo, Center, Fr., 7' 1'' ,304 lbs ," Lagos, Nigeria", Tennessee Temple,2012,mens-basketball,
0,Devon Bookert, Guard, So., 6' 3'' ,198 lbs ," Anchorage, Ak.", West Anchorage,2013,mens-basketball,
1,Marquez White, Guard, Fr.,NA,171 lbs ," Dothan, Ala.", Northview,2013,mens-basketball,
2,Okaro White, Forward, Sr., 6' 9'' ,204 lbs ," Clearwater, Fla.", Clearwater,2013,mens-basketball,
3,Kiel Turpin, Center, R-Sr., 7' 0'' ,240 lbs ," Normal, Ill.", Normal Community West,2013,mens-basketball,
4,Robert Gilchrist, Forward, Sr., 6' 9'' ,220 lbs ," London, England", Worcester Academy,2013,mens-basketball,
5,Boris Bojanovsky, Center, So., 7' 3'' ,248 lbs ," Bratislava, Slovak Republic", Oakley College,2013,mens-basketball,
6,Xavier Rathan-Mayes, Guard, Fr., 6' 4'' ,208 lbs ," Scarborough, Ontario, Canada", Huntington (WV) Prep,2013,mens-basketball,
7,Jarquez Smith, Forward, Fr., 6' 9'' ,236 lbs ," Haddock, Ga.", Jones County,2013,mens-basketball,
8,Ian Miller, Guard, Sr., 6' 3'' ,198 lbs ," Charlotte, N.C.", United Faith Christian Academy,2013,mens-basketball,
